Section,Category,Example
Technology,Analytical or scientific software,Minitab
Technology,Analytical or scientific software,Provalis Research Simstat
Technology,Analytical or scientific software,TNS Miriad
Technology,Analytical or scientific software,WinCross
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Oracle Business Intelligence Enterprise Edition
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Categorization or classification software,Map Maker
Technology,Content workflow software,"Adxstudio, for Microsoft"
Technology,Customer relationship management CRM software,Blackbaud The Raiser's Edge
Technology,Customer relationship management CRM software,Oracle Eloqua
Technology,Customer relationship management CRM software,Sage ACT!
Technology,Customer relationship management CRM software,Salesforce software
Technology,Data base management system software,Apache Hadoop
Technology,Data base management system software,Apache Hive
Technology,Data base management system software,Teradata Database
Technology,Data base reporting software,SAP Crystal Reports
Technology,Data base user interface and query software,FileMaker Pro
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Structured query language SQL
Technology,Data base user interface and query software,WorldAPP KeySurvey Suite
Technology,Data mining software,Google Analytics
Technology,Data mining software,IBM Intelligent Miner
Technology,Data mining software,NCR Teradata Warehouse Miner
Technology,Data mining software,Oracle Darwin
Technology,Desktop publishing software,Adobe Systems Adobe InDesign
Technology,Desktop publishing software,LogiXML Ad-HOC
Technology,Desktop publishing software,Microsoft Publisher
Technology,Desktop publishing software,Sawtooth SSI Web
Technology,Development environment software,Adobe Systems Adobe ActionScript
Technology,Development environment software,Microsoft Visual Basic
Technology,Document management software,Adobe Systems Adobe Acrobat
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise resource planning ERP software,Microsoft Dynamics
Technology,Enterprise resource planning ERP software,NetSuite ERP
Technology,Enterprise resource planning ERP software,Oracle PeopleSoft
Technology,Enterprise resource planning ERP software,SAP
Technology,Expert system software,Digivey software (expert system feature)
Technology,Financial analysis software,Delphi Technology
Technology,Financial analysis software,Financial planning software
Technology,Graphics or photo imaging software,Adobe Systems Adobe Creative Cloud
Technology,Graphics or photo imaging software,Adobe Systems Adobe Photoshop
Technology,Graphics or photo imaging software,Microsoft Visio
Technology,Graphics or photo imaging software,Thomson Dialog
Technology,Information retrieval or search software,Factiva
Technology,Information retrieval or search software,LexisNexis
Technology,Information retrieval or search software,Mintel Reports
Technology,Information retrieval or search software,Verispan Patient Parameters
Technology,Internet browser software,Web browser software
Technology,Map creation software,ESRI ArcGIS software
Technology,Object or component oriented development software,R
Technology,Office suite software,Microsoft Office
Technology,Point of sale POS software,Digivey software (point of sale feature)
Technology,Presentation software,Microsoft PowerPoint
Technology,Project management software,ClassApps SelectSurveyASP
Technology,Project management software,Microsoft Project
Technology,Project management software,Microsoft SharePoint
Technology,Project management software,Perseus SurveySolutions
Technology,Sales and marketing software,Google AdWords
Technology,Sales and marketing software,Marketo Marketing Automation
Technology,Spreadsheet software,Microsoft Excel
Technology,Transaction security and virus protection software,Symantec
Technology,Video creation and editing software,Adobe Systems Adobe AfterEffects
Technology,Video creation and editing software,Apple Final Cut Pro
Technology,Video creation and editing software,YouTube
Technology,Web page creation and editing software,Adobe Systems Adobe Dreamweaver
Technology,Web page creation and editing software,Adobe Systems Adobe Flash Player
Technology,Web page creation and editing software,Facebook
Technology,Web page creation and editing software,LinkedIn
Technology,Web platform development software,Cascading Style Sheets CSS
Technology,Web platform development software,Drupal
Technology,Web platform development software,Dynamic hypertext markup language DHTML
Technology,Web platform development software,JavaScript
Technology,Word processing software,Microsoft Word
