"","Data_Scientist_Skills_ID","Company","Web_scrape_date","state","job_post_link"
"11",4,"NYC Administration for Children's Services",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=6c6b017b6161b6c2&fccid=3dd3aa4c732ecbeb&vjs=3"
"12",2,"Oracle",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=74c9beaf75c29b8f&fccid=cd22d01053af7669&vjs=3"
"13",12,"S&P Global",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=bb7a34eb790c308c&fccid=b716e44d2c6283e7&vjs=3"
"14",3,"S&P Global",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=bb7a34eb790c308c&fccid=b716e44d2c6283e7&vjs=3"
"15",3,"KPMG",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=4f705b209e88f684&fccid=2dd390c3a48a7ed0&vjs=3"
"16",4,"Amazon.com",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=a2fc524ccf85593e&fccid=fe2d21eef233e94a&vjs=3"
"17",2,"Amazon.com",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=a2fc524ccf85593e&fccid=fe2d21eef233e94a&vjs=3"
"18",13,"Northwell Health",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=5ef71de54fb4223d&fccid=6f31e2074a3d8a7b&vjs=3"
"19",12,"S&P Global Ratings",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=4ffaed265ed366fb&fccid=b6cbe54d4f54ff6d&vjs=3"
"20",3,"S&P Global Ratings",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=4ffaed265ed366fb&fccid=b6cbe54d4f54ff6d&vjs=3"
"21",5,"SiriusXM",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=ef7ff75598819844&fccid=25039f950f78d541&vjs=3"
"22",2,"SiriusXM",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=ef7ff75598819844&fccid=25039f950f78d541&vjs=3"
"23",4,"Xaxis",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=3f48a9b75cba22bf&fccid=3d73f189e746988f&vjs=3"
"24",2,"Xaxis",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=3f48a9b75cba22bf&fccid=3d73f189e746988f&vjs=3"
"25",12,"New York Life Insurance Co",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=6bad286bd9383f1c&fccid=f0595ebb13247329&vjs=3"
"26",5,"New York Life Insurance Co",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=6bad286bd9383f1c&fccid=f0595ebb13247329&vjs=3"
"27",13,"Clarity Insights",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=36035b2532cf95ea&fccid=a5234c87c471c05c&vjs=3"
"28",11,"Clarity Insights",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=36035b2532cf95ea&fccid=a5234c87c471c05c&vjs=3"
"29",6,"Clarity Insights",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=36035b2532cf95ea&fccid=a5234c87c471c05c&vjs=3"
"30",4,"Clarity Insights",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=36035b2532cf95ea&fccid=a5234c87c471c05c&vjs=3"
"31",11,"Nielsen",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=aff7e048f5913634&fccid=683f563b5cc25b70&vjs=3"
"32",3,"Amazon.com",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=61b5f145369973f9&fccid=fe2d21eef233e94a&vjs=3"
"33",1,"Amazon.com",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=61b5f145369973f9&fccid=fe2d21eef233e94a&vjs=3"
"34",3,"AiCure",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=7922b12d5cc4fa12&fccid=a7ffaac5586ee69a&vjs=3"
"35",13,"Microsoft",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=0ccce34c162bbb10&fccid=734cb5a01ee60f80&vjs=3"
"36",11,"Microsoft",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=0ccce34c162bbb10&fccid=734cb5a01ee60f80&vjs=3"
"37",5,"Microsoft",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=0ccce34c162bbb10&fccid=734cb5a01ee60f80&vjs=3"
"38",4,"Microsoft",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=0ccce34c162bbb10&fccid=734cb5a01ee60f80&vjs=3"
"39",3,"Microsoft",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=0ccce34c162bbb10&fccid=734cb5a01ee60f80&vjs=3"
"40",5,"Analytic Recruiting",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=a6ef6151431b76a8&fccid=3b4e0f2c2deb87d6&vjs=3"
"41",12,"Quest Groups LLC",2018-10-23,"NY","https://www.indeed.com/company/Quest-Groups-LLC/jobs/Senior-Data-Engineer-c9ed89ab68112742?fccid=21a5177582321d18&vjs=3"
"42",7,"Tory Burch",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=9d6d3eca6be495be&fccid=fdf755343f0d328b&vjs=3"
"43",4,"Tory Burch",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=9d6d3eca6be495be&fccid=fdf755343f0d328b&vjs=3"
"44",2,"Tory Burch",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=9d6d3eca6be495be&fccid=fdf755343f0d328b&vjs=3"
"45",12,"KPMG",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=2b1cc314a6212e07&fccid=2dd390c3a48a7ed0&vjs=3"
"46",3,"KPMG",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=2b1cc314a6212e07&fccid=2dd390c3a48a7ed0&vjs=3"
"47",12,"S&P Global",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=64c4984dd5ae4b17&fccid=b716e44d2c6283e7&vjs=3"
"48",3,"S&P Global",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=64c4984dd5ae4b17&fccid=b716e44d2c6283e7&vjs=3"
