"","Keyword","n"
"1"," Machine Learning ",177
"2"," Python ",134
"3"," SQL ",122
"4"," AI ",96
"5"," Spark ",78
"6"," R ",76
"7"," Hadoop ",61
"8"," AWS ",56
"9"," Statistics ",46
"10"," SAS ",38
"11"," Tableau ",17
"12"," SparkML ",2
"13"," AZURE ",1
