"","Keyword","n"
"1"," Python ",55
"2"," SQL ",47
"3"," Machine Learning ",38
"4"," Hadoop ",34
"5"," R ",31
"6"," AI ",30
"7"," AWS ",21
"8"," Spark ",15
"9"," SAS ",10
"10"," Statistics ",7
"11"," Tableau ",5
"12"," SparkML ",1
