"","Data_Scientist_Skills_ID","Company","Web_scrape_date","state","job_post_link"
"780",13,"Harnham",2018-10-30,"CA","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyRorwnK9gL9jnyEkakzPAaIEervZ7PacFePQmPFjeVWR2-SMDXBR_vuT2U8CmkCdws9xR6mQc-5Sh5Qm3r5UmrcSZgdyDEku7CDPywU_nfzLpgHiz1ZpWgVuHWTHiSbMtv-Q2EyyrsYJHxklj9rKnHzRrwlJNI2rRvWgqqpzTIIptF099M4xvKiHEmQ1d6U9eNYtXgUOjElD4LQTjMZjASbH8lCMPtWLyJ5g2HcIyTFIR4sItTzYhNQx5ERPr7ZYfQU-cMmmRR2iWnLTvP6L4yce0dEtnfywcb3hB3n5g4Fw33cwYG1NNvUSdZV2tSt16ebYYbqXVadyl77Gi1ixUKvlivEQmxrBT-KF2AQt1T_I54BnmUuOi7JTaZEu7p_GMUxi5q3DUrZcSGQ4cIF-1ElmFaz15ZQAzeyncQ2vJdVANF17mUxGOOKTjMO-baJgsrlyEUZgTLqNoeJBHbfWGCBHish1V4XysKg5Wo_hXaUPBDey7W94dBzraLfvXqUkyQq6ZcrTSW5Je6vuvllGpsR_BFe0Y611LKm16_ur-If8YUk819bFHNMkk-YyzCL6Et-u4okRcdHti-daC4_bJM=&vjs=3&p=2&sk=&fvj=0"
"781",3,"Harnham",2018-10-30,"CA","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyRorwnK9gL9jnyEkakzPAaIEervZ7PacFePQmPFjeVWR2-SMDXBR_vuT2U8CmkCdws9xR6mQc-5Sh5Qm3r5UmrcSZgdyDEku7CDPywU_nfzLpgHiz1ZpWgVuHWTHiSbMtv-Q2EyyrsYJHxklj9rKnHzRrwlJNI2rRvWgqqpzTIIptF099M4xvKiHEmQ1d6U9eNYtXgUOjElD4LQTjMZjASbH8lCMPtWLyJ5g2HcIyTFIR4sItTzYhNQx5ERPr7ZYfQU-cMmmRR2iWnLTvP6L4yce0dEtnfywcb3hB3n5g4Fw33cwYG1NNvUSdZV2tSt16ebYYbqXVadyl77Gi1ixUKvlivEQmxrBT-KF2AQt1T_I54BnmUuOi7JTaZEu7p_GMUxi5q3DUrZcSGQ4cIF-1ElmFaz15ZQAzeyncQ2vJdVANF17mUxGOOKTjMO-baJgsrlyEUZgTLqNoeJBHbfWGCBHish1V4XysKg5Wo_hXaUPBDey7W94dBzraLfvXqUkyQq6ZcrTSW5Je6vuvllGpsR_BFe0Y611LKm16_ur-If8YUk819bFHNMkk-YyzCL6Et-u4okRcdHti-daC4_bJM=&vjs=3&p=2&sk=&fvj=0"
"782",4,"FX Networks",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=176814b7790c5d02&fccid=d24f61206c1f1cbf&vjs=3"
"783",5,"Twitter",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=f0cf1aa56c26f3a1&fccid=7a3824693ee1074b&vjs=3"
"784",6,"Tocagen",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=8bc2bf6f162adf2a&fccid=07f551160b8e954c&vjs=3"
"785",13,"NVIDIA",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=98952765250a93a2&fccid=c267f29f0f85e8b8&vjs=3"
"786",2,"Harnham",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=dc612f5642be28a5&fccid=d72eb0548d91249c&vjs=3"
"787",11,"PAX Labs",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=5cb97fbe314b4aad&fccid=762eb2f62d54fde4&vjs=3"
"788",4,"PAX Labs",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=5cb97fbe314b4aad&fccid=762eb2f62d54fde4&vjs=3"
"789",1,"PAX Labs",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=5cb97fbe314b4aad&fccid=762eb2f62d54fde4&vjs=3"
"790",13,"Affirm",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=b53e10a252e079ed&fccid=5cf4e54c5ef78aa7&vjs=3"
"791",15,"Guidewire Software, Inc.",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=83b98e6c4ec203ab&fccid=be90d89fb010b0bf&vjs=3"
"792",1,"Guidewire Software, Inc.",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=83b98e6c4ec203ab&fccid=be90d89fb010b0bf&vjs=3"
"793",13,"Talener",2018-10-30,"CA","https://www.indeed.com/company/Talener/jobs/Director-Machine-Learning-dd692f83fa4773c0?fccid=f133a76e5e0df547&vjs=3"
"794",13,"Dropbox",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=92064c90bf030f1a&fccid=8510f9bc3a085f8e&vjs=3"
"795",3,"Dropbox",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=92064c90bf030f1a&fccid=8510f9bc3a085f8e&vjs=3"
"796",7,"Illumina",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=1dff0d0f9f478d30&fccid=8524239b088a6649&vjs=3"
"797",4,"Illumina",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=1dff0d0f9f478d30&fccid=8524239b088a6649&vjs=3"
"798",7,"Hulu",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=7a798d8fbcc82ed6&fccid=6824fc1f087bd63e&vjs=3"
"799",4,"Hulu",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=7a798d8fbcc82ed6&fccid=6824fc1f087bd63e&vjs=3"
"800",11,"Roche",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=94aad6fbab81edbf&fccid=bca1c8ed48c3b338&vjs=3"
"801",11,"A-Line Staffing",2018-10-30,"CA","https://www.indeed.com/company/A--Line-Staffing/jobs/Principal-Data-Engineer-cf7747587785399d?fccid=7569cbae08bdf476&vjs=3"
"802",4,"Granular",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=fa3beda0d35f4ff8&fccid=188fc5b52f202b0d&vjs=3"
"803",13,"Oath Inc",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=848e259ba51e34ee&fccid=ec7026b814653f27&vjs=3"
"804",2,"Oath Inc",2018-10-30,"CA","https://www.indeed.com/rc/clk?jk=848e259ba51e34ee&fccid=ec7026b814653f27&vjs=3"
"805",3,"Tandem Recruiting Group",2018-10-30,"CA","https://www.indeed.com/company/Tandem-Recruiting-Group/jobs/Senior-Python-Data-Engineer-75a4b6336717719e?fccid=2d68a81d04a3d17b&vjs=3"
"806",2,"Tandem Recruiting Group",2018-10-30,"CA","https://www.indeed.com/company/Tandem-Recruiting-Group/jobs/Senior-Python-Data-Engineer-75a4b6336717719e?fccid=2d68a81d04a3d17b&vjs=3"
