Section,Category,Example
Technology,Access software,Access management software
Technology,Access software,Citrix
Technology,Accounting software,Fund accounting software
Technology,Administration software,Redgate SQL Server
Technology,Administration software,SolarWinds
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,Minitab
Technology,Analytical or scientific software,Safe Software FME
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,StataCorp Stata
Technology,Analytical or scientific software,Test data generator software
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Application server software,Oracle WebLogic Server
Technology,Application server software,Red Hat WildFly
Technology,Backup or archival software,Acronis Recovery Expert
Technology,Backup or archival software,BMC Software Recovery Manager RMAN
Technology,Backup or archival software,Database cloning software
Technology,Backup or archival software,EMC NetWorker
Technology,Backup or archival software,HP DataProtector
Technology,Backup or archival software,IBM ADSTAR
Technology,Backup or archival software,Oracle Data Guard
Technology,Backup or archival software,Storage management software
Technology,Backup or archival software,Systems and data disaster recovery software
Technology,Backup or archival software,VERITAS NetBackup
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,Micosoft SQL Server Analysis Services SSAS
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Oracle Business Intelligence Enterprise Edition
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Business intelligence and data analysis software,Tableau
Technology,Clustering software,Cluster server software
Technology,Clustering software,Oracle Real Application Cluster RAC
Technology,Communications server software,IBM Domino
Technology,Computer aided design CAD software,Dassault Systemes CATIA
Technology,Computer based training software,
Technology,Configuration management software,Chef
Technology,Configuration management software,Deployment software
Technology,Configuration management software,Perforce Helix software
Technology,Configuration management software,Puppet
Technology,Configuration management software,Red Hat Ansible Engine
Technology,Configuration management software,VMWare
Technology,Content workflow software,Atlassian JIRA
Technology,Customer relationship management CRM software,Blackbaud The Raiser's Edge
Technology,Customer relationship management CRM software,Oracle Eloqua
Technology,Customer relationship management CRM software,Salesforce software
Technology,Data base management system software,ADO.NET
Technology,Data base management system software,Amazon DynamoDB
Technology,Data base management system software,Apache Cassandra
Technology,Data base management system software,Apache Hadoop
Technology,Data base management system software,Apache Pig
Technology,Data base management system software,Apache Solr
Technology,Data base management system software,Apache Sqoop
Technology,Data base management system software,BMC Software Change Manager
Technology,Data base management system software,CA IDMS
Technology,Data base management system software,Catalog navigation software
Technology,Data base management system software,Concurrency control software
Technology,Data base management system software,Couchbase Server
Technology,Data base management system software,Data definition language DDL
Technology,Data base management system software,Data manipulation language DML
Technology,Data base management system software,Data transformation services DTS software
Technology,Data base management system software,Database design software
Technology,Data base management system software,Elasticsearch
Technology,Data base management system software,Embarcadero Technologies DBArtisan
Technology,Data base management system software,Greenplum Database
Technology,Data base management system software,IBM Interactive System Productivity Facility ISPF
Technology,Data base management system software,Index tuning software
Technology,Data base management system software,Informatica Big Data
Technology,Data base management system software,MapR Converged Data Platform
Technology,Data base management system software,MariaDB
Technology,Data base management system software,MongoDB
Technology,Data base management system software,NoSQL
Technology,Data base management system software,Oracle Enterprise Manager
Technology,Data base management system software,Oracle Enterprise Manager Cloud Control
Technology,Data base management system software,Oracle Golden Gate
Technology,Data base management system software,Oracle PL/SQL
Technology,Data base management system software,Quest Central
Technology,Data base management system software,Quest SharePlex
Technology,Data base management system software,Relational database management software
Technology,Data base management system software,SAP Adaptive Server Enterprise
Technology,Data base management system software,SAP Replication Server
Technology,Data base management system software,SentryOne SQL Sentry
Technology,Data base management system software,Teradata Database
