Section,Category,Example
Technology,Analytical or scientific software,SAS
Technology,Business intelligence and data analysis software,Oracle Business Intelligence Enterprise Edition
Technology,Content workflow software,Equifax Application Engine
Technology,Content workflow software,Experian Transact SM
Technology,Data base user interface and query software,Structured query language SQL
Technology,Document management software,Credit adjudication and lending management system CALMS
Technology,Enterprise resource planning ERP software,Oracle JD Edwards EnterpriseOne
Technology,Enterprise resource planning ERP software,SAP
Technology,Financial analysis software,CGI-AMS CACS Enterprise
Technology,Financial analysis software,CGI-AMS Strata
Technology,Financial analysis software,Credit and risk analysis software
Technology,Financial analysis software,Credit fraud detection software
Technology,Financial analysis software,Dun and Bradstreet Global DecisionMaker
Technology,Financial analysis software,eCredit Enterprise
Technology,Financial analysis software,Equifax Advanced Decisioning
Technology,Financial analysis software,Equifax InterConnect
Technology,Financial analysis software,Experian Credinomics
Technology,Financial analysis software,Experian Detect
Technology,Financial analysis software,Experian FraudShield
Technology,Financial analysis software,Experian Quest
Technology,Financial analysis software,Experian Retention Triggers
Technology,Financial analysis software,Fair Isaac Application Risk Model Software
Technology,Financial analysis software,Fair Isaac Capstone Decision Manager
Technology,Financial analysis software,Fair Isaac Falcon ID
Technology,Financial analysis software,Moody's KMV CreditEdge
Technology,Financial analysis software,Moody's KMV Decisions
Technology,Financial analysis software,Moody's KMV Financial Analyst
Technology,Financial analysis software,Moody's KMV Risk Advisor
Technology,Financial analysis software,Moody's KMV Risk Analyst
Technology,Information retrieval or search software,CGI-AMS BureauLink Enterprise
Technology,Office suite software,Experian Strategy Management
Technology,Office suite software,Microsoft Office
Technology,Presentation software,Microsoft PowerPoint
Technology,Spreadsheet software,Microsoft Excel
Technology,Word processing software,Microsoft Word
