Section,Category,Example
Technology,Data base user interface and query software,Database software
Technology,Document management software,FileNet Content Manager
Technology,Enterprise resource planning ERP software,Anodas Software Limited Phoenix
Technology,Enterprise resource planning ERP software,Consilience Software Maven Insurance Automation Suite
Technology,Enterprise resource planning ERP software,SIS SEMCI PARTNER
Technology,Enterprise resource planning ERP software,Skywire Software InsBridge
Technology,Financial analysis software,Delphi Technology
Technology,Financial analysis software,Fannie Mae Desktop Underwriter
Technology,Financial analysis software,RGA Facultative Application Console
Technology,Financial analysis software,Valen Technologies Risk Manager
Technology,Information retrieval or search software,LexisNexis
Technology,Internet browser software,Web browser software
Technology,Object or component oriented development software,C++
Technology,Office suite software,Microsoft Office
Technology,Presentation software,Microsoft PowerPoint
Technology,Spreadsheet software,Microsoft Excel
Technology,Word processing software,Microsoft Word
