Section,Category,Example
Technology,Accounting software,Fund accounting software
Technology,Analytical or scientific software,Analyse-it
Technology,Analytical or scientific software,Statistical software
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Data base management system software,Relational database management software
Technology,Data base reporting software,DataVision
Technology,Data base user interface and query software,FileMaker Pro
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Structured query language SQL
Technology,Development environment software,Integrated development environment IDE software
Technology,Document management software,Adobe Systems Adobe Acrobat
Technology,Document management software,Atrion Intelligent Authoring
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise resource planning ERP software,SAP
Technology,Human resources software,Human resource management software HRMS
Technology,Information retrieval or search software,LexisNexis
Technology,Internet browser software,Web browser software
Technology,Medical software,Healthcare common procedure coding system HCPCS
Technology,Medical software,Medical procedure coding software
Technology,Office suite software,Microsoft Office
Technology,Presentation software,Microsoft PowerPoint
Technology,Project management software,Microsoft Project
Technology,Project management software,Microsoft SharePoint
Technology,Spreadsheet software,Microsoft Excel
Technology,Transaction security and virus protection software,McAfee
Technology,Word processing software,Microsoft Word
